num_planets,stellar_mass
1,1.34
1,0.74
1,1.46
3,0.67
1,0.80
2,0.94
5,0.77
1,1.29
2,1.01
1,0.92
3,0.83
2,0.30
1,1.21
1,0.71
1,0.58
1,1.17
1,1.55
1,1.57
2,0.67
1,1.17
2,0.82
1,0.97
3,0.34
1,0.87
1,0.66
4,0.78
4,0.80
1,1.06
2,0.77
1,0.88
1,1.13
1,1.61
3,0.86
1,1.75
1,1.49
2,0.85
2,0.89
2,1.06
1,1.00
1,1.08
1,1.69
3,0.63
1,1.03
1,0.94
2,1.04
1,0.93
3,1.03
1,1.06
1,1.23
1,0.87
1,1.96
1,1.22
1,0.39
1,1.03
5,0.58
2,0.79
4,0.86
2,1.74
1,0.89
2,1.14
1,1.16
2,0.39
2,0.40
2,0.49
1,0.95
1,1.13
1,1.19
1,1.47
1,1.17
5,0.70
2,1.36
2,0.87
1,0.84
1,1.12
1,1.63
1,0.47
1,1.70
3,0.96
1,0.78
1,1.90
2,1.32
7,0.09
1,0.52
5,1.08
1,0.87
1,1.26
2,0.12
2,1.06
6,1.02
6,1.02
3,1.02
5,0.77
1,1.78
1,1.00
5,1.08
1,0.89
1,2.65
2,1.20
2,1.25
1,0.85
1,1.09
2,0.18
2,0.83
1,1.02
1,1.04
1,1.03
1,1.93
1,2.00
1,1.60
1,1.08
1,0.95
5,1.08
1,0.80
6,0.81
1,1.24
2,1.15
5,1.17
3,1.10
2,1.15
4,0.27
6,0.81
4,0.69
1,1.11
3,0.73
1,0.83
1,1.36
5,1.17
1,1.89
1,1.65
3,1.26
3,0.73
2,1.21
6,0.81
1,1.55
2,0.73
2,0.73
2,0.85
4,0.27
4,0.27
1,1.14
3,1.10
4,0.69
1,0.16
5,1.17
2,0.68
2,0.73
5,1.17
4,0.27
1,0.95
6,0.81
1,1.32
2,0.73
6,0.81
4,0.69
3,1.07
4,0.69
2,1.21
2,0.68
3,1.26
5,1.17
6,0.81
3,0.73
3,1.26
1,0.77
2,0.85
3,1.06
1,0.82
2,0.65
1,0.86
1,0.47
1,0.19
4,0.78
1,0.77
2,0.50
1,1.26
1,1.08
1,0.87
1,0.84
1,1.05
1,1.09
1,1.09
1,1.46
1,0.96
2,1.00
2,0.75
1,2.00
1,0.98
1,1.37
1,0.90
1,0.45
1,0.35
2,0.94
4,0.32
2,0.83
3,0.89
1,0.90
2,0.91
2,1.01
1,1.03
1,1.07
1,1.10
1,0.96
2,0.86
2,1.01
2,1.39
1,1.10
1,1.41
1,1.55
1,0.48
1,1.44
1,0.80
1,0.55
2,1.32
1,0.99
3,0.88
3,0.74
3,0.74
3,0.74
1,1.43
1,0.77
1,1.05
1,0.29
1,0.74
1,1.79
1,0.98
1,2.28
1,1.01
2,0.80
6,1.06
6,1.06
4,1.04
1,0.88
2,0.79
1,0.45
1,1.00
1,0.60
2,0.38
1,0.38
2,0.50
1,0.99
4,0.42
1,1.30
2,0.65
2,0.31
1,1.84
1,1.46
1,0.92
1,1.20
1,0.28
1,1.54
1,1.13
2,1.08
1,1.12
1,1.20
4,0.78
1,0.95
1,1.02
1,0.95
1,1.08
1,0.39
1,1.18
1,0.40
1,0.96
1,1.03
2,1.33
4,0.98
3,1.29
1,1.03
1,0.99
1,0.82
1,1.10
1,1.02
1,0.21
3,0.40
1,0.78
1,0.22
1,1.06
1,0.48
1,0.90
3,0.83
1,0.87
2,0.40
2,0.93
1,0.79
2,1.29
1,0.78
1,1.20
1,0.78
1,1.42
1,1.11
2,2.01
3,1.21
1,0.19
3,0.88
1,1.18
1,1.30
1,0.27
3,0.68
2,1.21
2,0.76
1,0.60
1,1.61
4,1.04
1,0.91
1,1.43
2,0.19
1,0.76
1,1.23
2,1.01
2,0.70
1,0.84
1,1.03
1,0.90
1,0.98
2,0.99
2,
1,1.98
1,0.15
1,0.15
1,0.97
1,1.08
1,0.49
1,1.29
1,1.43
1,0.96
2,0.34
1,0.93
1,1.09
2,0.83
1,1.01
2,1.34
5,0.87
3,0.39
4,0.78
2,1.15
1,1.04
1,1.70
1,1.50
1,1.10
3,1.12
2,0.94
2,1.10
1,1.22
1,1.94
6,0.83
2,1.39
1,1.17
1,0.07
1,1.80
2,0.86
3,0.96
1,0.75
1,0.63
1,0.98
1,0.84
1,1.23
2,0.95
2,0.94
1,0.11
1,0.59
1,0.86
1,1.01
4,0.96
2,1.11
2,0.97
1,0.96
1,0.91
2,1.01
2,0.79
2,0.49
1,1.47
1,0.70
1,1.86
1,0.78
3,1.32
3,1.10
1,1.30
3,1.27
6,0.65
1,0.81
1,1.23
1,0.77
1,0.92
1,1.03
1,1.40
6,1.02
6,1.02
1,1.41
6,0.94
1,0.48
5,0.96
3,0.84
3,0.13
3,1.00
1,1.06
2,0.80
3,0.92
2,1.15
1,0.93
2,1.23
2,0.57
1,0.85
2,1.08
3,1.07
1,0.73
1,0.82
1,1.05
3,0.92
2,1.13
2,0.84
3,0.81
2,1.07
1,0.53
1,0.85
4,0.81
1,0.83
6,1.02
1,1.32
2,1.02
4,0.55
2,0.86
1,0.78
1,0.91
4,0.95
3,0.89
2,1.08
1,1.04
1,1.06
1,0.89
1,0.96
2,0.95
1,0.52
1,1.60
3,0.98
1,1.07
1,1.23
4,0.42
4,0.42
4,0.42
1,1.21
2,0.99
5,1.00
4,1.20
1,0.87
2,0.97
4,0.82
1,1.04
2,0.60
4,0.98
1,0.86
1,0.89
2,0.91
4,0.87
1,1.44
2,0.14
4,0.54
4,0.54
2,1.05
3,1.11
2,0.35
1,0.89
4,1.17
3,0.22
4,1.00
3,0.65
1,1.25
3,1.21
1,1.28
2,0.99
1,0.56
3,1.04
3,0.97
2,0.75
1,0.78
2,0.89
3,1.03
1,1.14
2,0.61
3,1.17
4,0.92
1,1.20
2,1.07
2,0.81
2,0.82
1,1.01
2,0.90
4,1.00
1,1.10
2,1.11
3,1.05
2,0.61
2,1.10
1,1.10
2,0.55
1,0.57
2,0.82
3,0.81
2,1.06
2,0.68
1,1.01
1,1.15
2,1.03
3,0.66
1,1.06
1,1.18
2,0.79
3,1.05
1,2.50
2,1.20
1,1.01
1,1.07
2,1.15
2,0.97
1,0.94
1,1.10
2,1.08
1,0.96
3,1.05
5,1.06
1,0.96
1,0.99
1,1.06
2,0.94
1,0.83
1,0.81
3,0.83
1,0.88
1,1.00
1,1.01
1,0.80
1,1.02
1,0.81
1,0.88
1,1.06
1,1.18
2,0.70
5,0.98
2,0.76
3,0.97
1,0.98
1,0.77
1,0.83
3,0.60
2,0.86
2,0.90
1,0.85
1,1.33
2,0.82
2,0.86
2,0.95
2,0.96
6,0.95
2,0.86
1,0.83
2,0.87
2,1.06
2,0.98
1,0.93
4,1.26
1,0.86
3,0.88
1,1.12
1,1.00
2,0.89
1,0.73
1,1.06
1,0.95
4,0.58
2,1.05
1,0.94
1,0.88
2,1.04
1,0.75
1,0.98
2,0.94
1,1.54
3,0.88
1,0.91
1,0.91
3,0.97
1,1.11
3,0.94
1,1.16
1,1.11
1,1.00
1,1.45
1,1.02
3,0.99
1,1.45
1,0.72
1,1.15
1,0.53
1,0.24
3,1.00
1,1.24
1,0.84
1,0.76
1,1.04
1,1.04
3,1.09
1,0.95
4,1.17
5,0.94
1,1.00
2,0.83
1,0.90
1,1.18
1,0.54
3,0.73
2,1.17
3,1.04
3,1.09
5,0.91
2,1.34
1,0.95
1,1.12
3,0.82
1,0.95
3,1.02
2,1.10
1,1.27
1,1.41
1,0.59
1,1.20
2,0.77
2,1.32
1,0.78
7,0.09
7,0.09
1,0.76
1,1.13
1,0.98
2,1.47
1,1.14
4,0.63
4,0.63
1,2.32
3,0.84
5,0.62
1,1.30
5,1.29
1,1.82
1,0.87
1,0.86
3,0.68
2,0.81
1,0.62
1,0.59
1,0.91
6,1.06
2,0.12
1,1.19
1,1.42
2,0.58
2,0.91
5,0.70
4,0.85
2,0.99
1,0.95
1,0.29
1,1.19
1,0.99
3,0.95
1,1.56
1,0.79
4,1.07
2,0.93
1,1.46
1,0.48
2,0.20
2,1.15
3,0.60
1,1.01
1,1.00
3,1.19
5,0.80
1,1.31
2,0.57
1,0.50
2,1.07
2,0.58
2,0.58
1,1.10
3,1.02
2,0.91
1,1.01
1,0.49
1,2.10
1,1.02
3,0.83
1,0.78
1,0.81
2,0.78
1,1.34
1,1.66
1,1.27
1,0.84
2,1.54
2,0.71
1,1.17
1,0.76
1,1.22
1,1.01
1,0.76
1,0.72
3,0.65
1,1.33
1,0.51
1,0.43
1,0.77
1,0.92
1,1.37
1,1.41
2,0.93
4,1.13
1,1.10
2,0.57
1,1.20
2,0.78
3,0.73
1,0.66
1,1.96
1,1.34
4,1.50
1,0.76
1,0.63
1,0.76
1,0.39
1,0.46
2,0.93
1,1.22
2,0.40
1,0.91
1,0.59
2,0.84
4,0.46
1,0.84
4,0.82
1,0.63
1,0.26
1,0.94
2,0.95
1,0.79
1,2.10
1,0.55
1,1.18
1,0.63
1,1.74
4,1.13
2,0.88
2,1.28
1,1.18
1,0.83
1,0.71
2,0.71
4,0.97
1,0.36
1,2.42
1,0.98
1,1.01
1,0.58
2,0.93
1,0.88
2,1.09
2,0.94
1,1.01
1,1.11
1,0.52
1,1.32
2,0.71
2,0.96
1,0.79
2,1.72
1,1.64
3,0.80
1,0.95
1,0.72
1,0.82
1,0.29
1,0.77
1,1.12
1,0.98
2,0.98
2,1.29
1,1.03
2,0.80
1,1.40
1,0.73
1,0.97
1,0.24
1,0.89
2,0.95
1,0.93
1,0.38
2,0.74
2,0.74
1,0.64
4,0.27
2,0.96
1,0.80
1,0.90
1,0.31
3,0.79
2,1.19
2,1.19
2,1.12
4,0.92
4,0.83
4,0.83
1,1.11
3,0.65
1,0.96
2,1.16
3,0.90
3,0.90
1,0.61
3,0.90
1,0.50
1,0.80
1,0.77
2,0.61
2,0.96
1,1.16
3,0.80
1,1.31
3,1.08
2,0.48
3,0.92
1,0.68
1,0.30
2,0.95
1,1.01
1,0.33
1,0.96
1,0.35
4,1.13
1,1.02
1,0.81
2,1.29
2,1.07
2,1.17
1,0.75
1,0.97
1,0.09
1,0.07
2,1.09
1,1.11
8,1.20
5,1.08
5,1.08
1,0.28
1,1.01
3,1.27
1,0.97
1,0.85
1,1.45
1,1.23
1,0.99
1,1.00
3,0.92
1,1.27
1,0.98
1,1.14
1,0.84
1,0.51
1,1.43
1,0.79
1,1.08
1,1.07
2,0.94
1,1.01
1,0.99
1,0.76
1,0.96
1,0.98
1,0.73
1,0.92
3,1.13
4,1.24
1,0.60
1,0.94
2,1.13
1,0.94
2,1.17
2,1.17
1,1.11
1,1.11
1,0.71
1,0.86
1,0.88
1,1.60
1,1.11
1,0.94
1,1.01
1,0.97
3,0.56
1,0.92
2,0.81
1,0.95
2,0.84
1,1.02
1,1.02
3,1.02
1,1.04
1,1.05
1,1.23
1,0.93
1,0.97
1,1.01
1,1.06
1,1.10
3,0.78
1,0.80
3,1.18
1,0.93
1,0.85
5,0.94
1,1.00
3,0.86
1,0.98
5,0.98
1,0.94
1,0.94
1,0.91
3,0.99
3,1.02
1,1.03
1,0.85
1,1.18
1,0.96
1,1.25
1,1.23
1,0.98
4,0.98
3,1.04
1,0.70
1,1.44
1,0.86
1,1.17
4,1.13
1,1.04
1,1.10
1,0.99
1,0.99
1,1.45
2,1.02
1,1.04
1,0.77
1,1.05
1,0.90
1,0.73
1,1.04
1,1.18
1,0.86
1,0.82
2,1.02
2,0.94
1,1.04
1,0.88
1,0.99
2,1.19
1,1.51
1,0.62
1,0.96
1,1.26
2,0.87
1,1.22
1,1.09
1,1.02
1,1.05
1,0.84
1,0.71
1,0.82
1,0.81
1,0.78
1,0.63
1,1.02
1,1.09
1,1.06
3,0.99
5,0.94
1,0.75
1,0.89
1,1.28
1,0.97
2,0.90
1,0.97
1,0.75
1,0.92
1,1.03
1,1.07
2,0.83
1,1.14
1,0.99
1,1.25
1,0.73
1,1.34
2,0.83
1,0.96
1,0.84
5,0.48
2,0.98
4,0.81
1,1.72
3,1.01
1,0.49
3,0.99
2,1.11
2,0.98
2,0.86
2,1.02
1,0.86
1,0.95
2,1.18
1,0.90
1,0.74
4,0.94
4,0.94
1,1.39
1,0.85
1,0.94
1,1.45
2,0.49
3,1.00
3,1.04
1,0.92
1,0.95
1,0.96
1,1.07
1,0.95
1,1.12
1,1.04
4,0.82
2,0.91
3,0.97
1,1.04
1,1.21
2,0.66
1,1.19
1,0.97
2,0.59
1,0.90
1,1.05
1,1.13
1,0.81
1,0.90
2,1.12
2,0.83
2,1.17
4,0.82
2,1.12
2,0.79
3,0.97
2,0.66
1,0.83
4,1.12
1,0.93
4,1.16
2,0.86
1,1.08
1,0.96
1,1.18
1,1.08
1,0.96
3,0.80
1,0.99
4,1.16
2,0.86
2,1.11
1,0.94
1,1.41
1,0.79
1,0.96
1,0.97
1,1.04
4,0.65
1,1.12
1,1.12
4,1.16
2,0.93
4,0.82
3,0.95
3,0.97
3,0.90
1,0.94
1,0.66
2,1.19
2,0.67
2,0.20
1,0.72
1,1.34
1,1.12
1,1.30
3,0.84
1,1.08
1,1.07
1,0.78
1,1.00
1,0.90
1,0.96
5,0.67
2,0.84
4,1.16
3,1.04
2,0.81
1,0.94
2,0.93
2,0.90
1,0.42
1,0.85
1,0.52
2,0.82
1,0.83
1,0.59
1,0.92
4,1.00
3,0.97
1,0.97
1,0.87
1,0.80
1,0.90
1,1.03
1,0.84
3,0.59
2,0.92
2,1.08
1,0.39
1,0.53
3,0.98
5,0.50
2,0.98
3,0.98
3,1.16
2,0.82
2,0.97
3,1.03
5,0.94
1,0.62
2,0.79
1,1.24
2,0.68
1,1.25
1,0.54
2,0.36
1,0.94
3,1.10
3,0.96
4,0.86
2,1.17
2,1.11
4,0.94
3,1.14
3,0.80
3,1.10
2,0.60
1,0.64
3,1.21
5,0.58
3,0.85
5,1.06
4,0.86
2,0.59
3,1.05
4,1.16
2,1.11
4,0.82
4,0.82
2,0.83
2,0.97
4,0.86
2,0.84
4,1.03
3,0.51
4,0.98
2,0.79
2,0.79
4,0.97
4,0.62
2,0.99
1,1.16
3,0.95
2,0.84
3,0.93
3,0.87
4,0.97
3,0.85
3,0.85
4,0.54
2,0.82
2,0.93
4,0.62
3,0.93
4,0.98
3,0.54
1,0.81
4,0.81
1,1.09
2,0.58
4,0.98
5,0.85
3,0.90
3,0.90
4,0.96
4,0.96
3,0.90
3,0.86
2,1.08
5,0.85
4,0.79
2,0.94
3,1.16
2,0.96
4,0.79
4,0.97
2,0.60
3,0.89
3,1.08
1,1.02
1,1.04
2,0.94
2,1.02
2,0.95
3,0.89
2,0.80
2,0.90
3,0.66
2,1.08
1,1.26
6,1.02
1,0.87
1,0.94
1,1.01
1,0.96
2,1.07
2,0.29
1,0.86
1,0.98
1,0.98
1,0.82
1,1.39
3,1.07
2,1.02
3,1.09
2,1.05
3,0.93
4,1.26
2,1.08
2,0.93
1,0.89
3,0.79
1,0.85
1,0.87
2,1.27
2,1.02
2,1.09
3,0.80
2,1.07
3,1.00
1,1.11
2,0.99
2,0.99
3,1.19
4,1.00
2,0.61
1,0.77
4,1.25
4,1.25
2,0.93
2,0.93
1,1.14
2,0.93
2,0.67
2,0.67
2,1.02
2,0.93
2,0.82
2,0.82
2,0.64
2,0.64
3,0.65
3,0.61
1,1.50
1,1.18
2,1.14
2,0.54
3,1.07
2,0.89
1,0.93
1,0.74
1,1.54
1,1.12
1,0.79
2,0.50
1,1.08
1,1.54
3,0.18
2,0.94
3,0.90
3,0.96
1,0.88
1,0.82
2,1.02
1,0.74
1,1.08
1,1.37
2,1.02
1,1.15
1,1.09
2,0.81
1,0.95
1,0.90
1,0.84
1,0.88
1,0.60
1,0.97
1,0.79
1,1.04
1,0.76
1,1.04
1,0.97
3,0.51
1,1.02
1,0.67
1,1.32
5,0.62
1,0.93
1,0.95
1,1.16
1,0.94
1,0.59
1,0.79
1,1.01
1,0.93
1,0.81
4,0.88
1,1.28
1,1.44
4,0.85
2,0.99
1,1.01
1,0.90
1,0.25
1,1.62
2,1.09
2,1.09
1,0.51
1,0.86
1,1.16
1,0.92
1,1.01
1,1.04
4,1.16
3,0.94
5,0.91
1,0.91
1,0.93
1,1.05
1,0.93
2,0.88
3,0.64
1,1.03
6,0.73
4,1.16
6,0.73
2,0.92
1,1.10
3,0.94
1,0.81
1,1.00
1,0.67
1,0.94
2,0.60
1,1.07
1,0.96
4,1.16
1,1.19
1,1.02
1,1.09
3,1.03
1,1.08
1,0.99
3,1.04
1,1.00
1,0.96
2,1.04
1,0.97
1,0.53
1,1.45
1,0.92
1,0.84
1,0.73
1,0.98
1,1.19
1,0.93
2,1.03
2,0.92
1,0.87
1,0.58
1,1.01
1,1.64
1,1.14
2,0.89
1,1.15
2,0.91
1,1.19
1,1.05
2,0.84
2,1.03
1,1.08
4,0.92
1,0.95
1,1.05
2,1.19
2,1.12
2,0.84
2,1.19
1,0.88
1,0.91
1,1.06
1,0.49
2,1.02
1,0.86
1,1.04
1,0.92
1,1.25
5,0.91
1,0.70
1,1.08
1,1.06
1,1.25
1,1.07
1,0.87
3,1.04
1,1.02
1,0.91
1,0.87
2,0.82
1,1.57
1,0.76
1,1.07
1,0.98
1,0.83
1,0.94
2,1.01
2,0.84
3,0.76
1,0.85
2,1.15
2,1.15
1,1.08
1,0.95
1,0.84
1,1.01
1,0.97
3,0.64
1,0.85
1,0.87
1,1.09
1,0.46
1,0.81
3,1.07
1,1.15
1,1.02
1,0.94
1,1.10
1,0.99
1,0.89
1,1.04
1,1.05
1,0.99
1,0.88
1,0.71
1,1.03
1,1.04
1,1.18
1,1.09
1,0.92
1,0.96
1,1.21
1,0.89
1,0.77
5,0.91
1,0.92
1,0.64
1,1.01
1,1.00
1,0.93
1,0.95
2,1.19
3,1.07
1,1.11
1,1.46
1,0.87
3,1.02
8,1.12
1,0.90
1,1.06
3,1.21
2,0.89
1,1.01
3,0.96
1,0.59
2,0.98
2,1.15
1,0.87
1,0.81
1,0.90
1,0.97
1,1.07
1,0.80
2,0.89
1,1.00
2,0.84
4,0.87
1,0.82
1,1.08
2,0.92
2,1.12
1,2.06
1,0.72
1,1.19
1,0.50
1,0.36
1,1.13
1,0.97
1,0.82
1,1.22
1,0.64
1,1.45
1,1.03
1,1.35
1,1.68
3,0.97
1,1.47
1,0.16
1,0.21
1,0.99
1,0.89
2,0.94
2,0.94
1,1.15
1,0.86
2,1.05
1,1.12
1,0.10
1,1.60
1,0.97
1,0.56
1,1.02
2,0.46
2,0.46
1,0.39
1,0.01
1,0.21
2,0.89
1,0.49
1,9.06
5,0.70
1,0.57
2,0.51
1,1.70
1,0.29
1,0.11
1,1.21
1,0.57
1,0.22
1,1.00
1,1.03
1,1.52
1,0.92
1,0.54
1,1.33
1,0.81
1,0.91
1,0.44
1,1.02
1,0.02
2,1.15
3,1.40
3,1.40
2,1.15
1,0.97
1,1.10
3,0.51
3,0.14
2,0.85
1,1.27
1,0.65
1,1.09
1,1.03
1,2.49
1,0.78
1,1.00
3,1.52
1,1.34
1,0.66
2,1.10
2,0.95
2,1.29
4,0.86
2,1.07
1,0.65
5,0.33
4,0.77
2,0.96
1,0.61
1,0.47
1,0.64
1,1.34
1,1.00
1,0.57
4,0.83
1,1.09
1,0.42
2,1.00
2,0.12
6,0.65
3,1.06
2,0.61
3,1.52
2,0.16
3,0.39
1,1.68
1,1.49
1,1.12
1,0.94
1,1.30
3,1.01
1,2.30
1,1.13
2,2.70
1,1.12
1,0.30
3,0.29
1,0.89
1,0.65
3,0.96
1,1.27
2,0.40
1,0.05
1,0.92
1,1.14
2,0.27
1,1.28
1,2.20
1,0.02
2,1.38
1,2.77
1,0.89
4,0.77
1,0.42
4,0.87
2,0.90
3,0.94
1,0.96
2,0.85
1,0.63
1,0.47
1,1.13
4,0.32
1,1.21
1,1.00
1,1.24
1,0.42
1,0.76
2,0.49
1,1.10
1,3.70
1,1.17
1,1.31
1,1.19
3,0.86
3,0.86
2,1.13
1,1.09
1,0.75
1,0.96
2,1.07
3,1.01
2,1.00
2,1.13
1,1.18
1,0.74
1,0.95
1,0.94
1,0.97
4,0.63
2,1.07
1,0.79
1,1.18
1,0.87
1,1.15
1,0.83
1,1.01
1,0.88
1,1.07
1,1.30
1,0.90
1,0.35
3,0.86
1,1.10
1,0.87
2,1.26
4,0.63
1,0.95
1,0.84
2,0.70
5,0.50
1,0.95
4,0.95
1,1.00
1,1.10
4,0.80
1,0.95
1,0.93
1,0.81
3,0.96
4,1.00
4,0.79
2,0.84
2,1.02
4,0.80
2,0.85
5,0.50
3,0.96
2,1.02
1,0.33
2,0.86
2,1.07
5,0.58
3,0.96
1,1.09
1,1.04
1,0.80
1,1.11
2,1.24
2,0.59
2,0.86
1,0.89
3,0.98
1,0.86
2,0.73
1,1.15
3,1.04
2,0.61
6,0.94
1,0.51
2,0.78
5,0.69
3,1.16
1,0.87
1,1.15
2,0.95
5,0.69
2,1.15
2,1.04
1,0.97
1,1.05
1,1.40
3,0.72
2,1.04
3,0.91
1,0.97
1,1.90
4,0.80
1,1.15
2,1.17
3,1.14
1,1.19
1,1.12
5,0.80
2,1.02
3,0.94
1,0.86
3,0.18
1,0.87
1,1.32
1,0.54
1,0.52
1,1.09
3,0.65
1,0.78
3,1.04
1,1.03
1,0.96
3,0.92
2,1.24
2,0.94
1,0.70
1,0.83
3,0.99
3,1.16
1,0.95
3,0.66
1,1.00
1,1.21
2,1.08
1,0.93
1,0.91
1,0.85
3,0.94
1,1.06
1,0.93
1,0.88
1,1.11
5,0.70
1,1.16
1,1.01
2,0.94
1,1.14
1,1.17
1,1.05
4,0.87
1,0.98
6,0.73
5,0.63
3,0.66
1,0.92
3,1.19
2,0.96
1,0.85
5,1.06
1,1.03
1,0.90
1,1.05
1,0.93
1,1.06
1,0.80
1,0.96
1,0.93
1,1.19
1,0.93
2,0.26
1,0.77
1,0.95
1,0.87
1,0.85
1,0.89
1,1.01
6,0.95
3,0.76
2,0.49
2,1.09
2,1.26
1,0.69
1,0.67
1,0.96
2,1.04
1,1.29
1,0.63
1,1.41
1,1.22
1,0.67
2,1.08
1,1.15
1,0.64
1,0.73
1,0.98
1,1.44
1,0.75
1,1.30
2,0.91
1,1.52
1,1.10
2,0.90
1,0.08
1,0.89
1,2.40
4,0.97
1,0.33
4,1.21
4,1.21
1,0.84
4,0.90
2,0.93
3,0.94
3,1.18
1,0.80
1,1.12
1,1.19
1,1.00
1,0.98
1,0.94
7,0.09
1,0.65
2,1.17
2,2.82
1,1.42
1,0.77
1,0.84
1,1.41
1,1.39
1,0.95
1,1.56
1,0.89
1,0.89
2,0.42
2,0.42
3,0.31
1,0.93
1,1.08
1,1.01
4,0.32
1,0.60
1,0.25
1,0.97
1,0.97
1,1.30
1,0.72
1,1.06
1,1.27
3,0.68
1,0.73
1,0.15
2,0.81
2,0.34
1,1.07
1,0.97
1,1.20
1,0.83
1,1.16
1,1.34
1,1.08
1,1.28
3,0.95
2,1.70
2,1.00
1,1.04
1,1.11
1,0.82
1,1.32
1,1.27
1,0.26
2,0.77
1,1.01
5,0.87
1,1.18
1,0.90
1,1.07
1,1.06
2,0.98
2,1.19
1,1.01
1,1.35
2,1.10
1,0.51
1,1.48
2,0.77
1,1.82
1,0.88
2,0.79
3,0.78
4,1.07
2,0.51
2,0.67
2,1.19
1,0.87
1,1.11
1,0.77
1,0.62
2,1.38
1,1.64
1,1.15
1,1.18
2,1.96
5,0.91
5,0.91
5,0.91
1,0.65
2,0.96
2,1.09
1,1.22
1,1.25
2,1.10
1,1.97
1,1.63
1,1.10
2,1.12
2,1.05
1,1.69
1,1.06
2,1.29
1,0.57
2,0.58
2,1.33
4,0.77
2,0.83
1,1.09
1,0.43
1,0.80
2,0.80
3,0.92
1,0.96
1,0.82
1,1.31
1,1.05
1,1.05
1,0.96
2,0.91
1,0.77
2,0.80
1,1.51
2,1.02
2,0.93
1,1.22
1,1.50
2,0.65
1,1.02
1,1.51
2,0.45
7,0.09
7,0.09
1,0.99
1,1.24
1,1.44
1,1.06
1,1.12
2,0.84
1,0.69
3,0.65
1,1.17
2,0.99
1,1.39
2,0.94
3,0.93
1,1.03
1,1.23
1,0.60
1,2.40
1,1.35
1,1.07
2,1.12
1,1.39
1,1.08
1,5.50
1,1.01
2,1.10
2,0.50
1,0.17
4,1.21
2,0.93
1,0.69
1,0.56
2,0.94
1,1.28
1,1.04
5,0.67
5,0.67
1,1.57
1,0.12
4,0.85
2,0.45
1,1.79
1,1.36
1,1.19
1,0.90
1,1.26
2,1.09
2,0.27
2,0.95
